,_id,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,TOTAL FEED (%) PV,CLINKER WF(%) PV,LIMESTONE WF(%) PV,SLAG WF(%) PV,GYPSUM WF(%) PV,POZZOLANE WF(%) PV,FLY ASH1 (%) PV,FLY ASH2 (%) PV,CLINKER WF(%) SP,LIMESTONE WF(%) SP,SLAG WF(%) SP,GYPSUM WF(%) SP,POZZOLANE WF(%) SP,FLY ASH1   (%) SP,FLY ASH2  (%) SP,TOTAL FEED (ton/h) PV,CLINKER WF (ton/h) PV,LIMESTONE WF (ton/h) PV,SLAG WF (ton/h) PV,GYPSUM W (ton/h) PV,POZZOLANE WF (ton/h) PV,FLY ASH1 (ton/h) PV,FLY ASH2 (ton/h) PV,TOTAL FEED (ton/h) SP,SLAG WF (ton/h) SP,LIMESTONE WF (ton/h) SP,CLINKER WF (ton/h) SP,BOTOM ASH WF (ton/h) SP,GYPSUM WF (ton/h) SP,FLY ASH 1 (ton/h) SP,FLY ASH 2 (ton/h) SP,INJECTION OF MILL WATER (m³/h) SP,MILL MOTOR POWER (KW) PV,MILL MOTOR CURR (A) PV,RECIRCULATION DAMPER (%) PV,RECIRCULATION DAMPER (%) SP,FRESH AIR DAMPER (%) PV,FRESH AIR DAMPER (%) SP,MAIN FAN POWER (KW) PV,MAIN FAN MOTOR CURR (A) PV,MAIN BF OUT PRESS (mbar) PV,CEMENT MILL BF DP (mbar) PV,GRINDING PRESSURE (bar) SP,GRINDING PRESSURE (bar) PV,BUCKET ELV MTR POWER (KW) PV,BUCKET ELV MOTOR CURR (A) PV,MILL IN PRES (mbar) PV,MILL IN PRES (mbar) SP,MILL IN TEMP (C) PV,MILL EXIT TEMP (C) PV,CEMENT MILL DP (mbar) PV,MILL OUT PRES (mbar) PV,SEPARATOR SPEED (%) SP,SEPARATOR POWER (KW) PV,SEPARATOR SPEED (RPM) PV,ICON BED TEMP(C) SP,ICON BED TEMP(C) PV,ICON CEILING TEMP (C) PV,ICON EXIT TEMP(C) PV,CEMENT MILL TABLE WATER SPRAY(m³/h) PV,ROLLER 1 BED DEPTH (mm),ROLLER 2 BED DEPTH (mm),ROLLER 3 BED DEPTH (mm),MILL VIBRATION (mm/s),GEARBOX ACCEREROMETER 1 VIBRATION (mm/s),GEARBOX ACCEREROMETER 2 VIBRATION (mm/s),HOPPER LEVEL INDICATOR (mg/m³),THRUST PAD 1 OIL PRESS (bar),THRUST PAD 2 OIL PRESS (bar),THRUST PAD 3 OIL PRESS (bar),THRUST PAD 4 OIL PRESS (bar),THRUST PAD 5 OIL PRESS (bar),THRUST PAD 6 OIL PRESS (bar),THRUST PAD 7 OIL PRESS (bar),THRUST PAD 8 OIL PRESS (bar),THRUST PAD 9 OIL PRESS (bar),THRUST PAD 10 OIL PRESS (bar),THRUST PAD 11 OIL PRESS (bar),THRUST PAD 12 OIL PRESS (bar),GRINDING AID ADDITION PV,GRINDING AID ADDITION SP,BLAINE,SO3,FINENESS,Moisture SLAG,Moisture POZZOLANE,Moisture CLINKER,Moisture LIMESTONE,Moisture GYPSUM,Moisture FLYASH 1,Moisture FLY ASH 2,Time Sample Taken CPII,cement type CPII,cement type CPIV,DATE/TIME
0,5c39583edd80273430fa657a,2019,1,12,0,0,3,83.17,74.47,21.48,0.01,0.78,3.09,0.01,0.12,73.7,22.3,0.0,1.0,3.0,0.0,0.0,54.1,40.29,11.61,0.0,0.42,1.68,0.02,0.08,65.0,0.0,1.65,40.53,12.26,0.55,0.0,0.0,100.0,1099.2,119.75,38.26,38.41,0.0,0.0,397.47,627.89,48.56,9.54,120.0,120.0,4.93,8.33,4.78,5.0,136.75,104.31,32.19,26.52,44.0,58.09,766.57,857.0,858.72,892.27,599.34,2.36,0.0,1.0,2.0,0.97,2.0,2.0,5.3,53.0,69.0,44.0,61.0,28.0,33.0,32.0,24.0,33.0,29.0,3.0,24.0,0.0,0.0,3380.0,1.86,6.5,9.8,2.51,0.03,7.62,2.29,0.03,0.03,236.0,0.0,1.0,2019-01-12 00:00:03
1,5c395860dd80273430fa657b,2019,1,12,0,0,34,83.2,74.39,21.66,0.02,0.84,2.99,0.01,0.19,73.7,22.3,0.0,1.0,3.0,0.0,0.0,53.96,40.12,11.74,0.01,0.45,1.61,0.01,0.05,65.0,0.0,1.65,40.53,12.26,0.55,0.0,0.0,100.0,1084.93,120.4,37.75,37.94,0.0,0.0,409.39,637.06,48.51,9.53,120.0,120.0,4.97,8.4,4.76,5.0,136.73,104.36,32.54,26.46,44.0,58.55,766.47,857.0,858.72,892.38,598.48,2.36,1.0,1.0,2.0,0.96,2.0,2.0,0.64,20.0,31.0,34.0,61.0,58.0,54.5,36.0,15.0,39.0,24.0,8.0,14.0,0.0,0.0,3380.0,1.86,6.5,9.8,2.51,0.03,7.62,2.29,0.03,0.03,236.0,0.0,1.0,2019-01-12 00:00:34
2,5c39587fdd80273430fa657c,2019,1,12,0,1,8,83.05,74.5,21.55,0.01,0.87,2.97,0.04,0.09,73.7,22.3,0.0,1.0,3.0,0.0,0.0,53.92,40.14,11.61,0.0,0.47,1.61,0.02,0.07,65.0,0.0,1.65,40.53,12.26,0.55,0.0,0.0,100.0,1017.64,112.85,36.39,35.9,0.0,0.0,441.02,683.59,48.55,9.56,120.0,119.0,4.97,8.4,4.65,5.0,137.0,104.48,32.31,26.29,44.0,57.82,766.1,857.0,857.81,891.98,601.62,2.36,0.0,1.0,2.0,1.04,2.0,2.5,2.4,29.0,58.0,47.0,80.0,75.0,62.0,47.0,29.0,19.0,34.0,1.0,25.0,0.0,0.0,3380.0,1.86,6.5,9.8,2.51,0.03,7.62,2.29,0.03,0.03,236.0,0.0,1.0,2019-01-12 00:01:08
3,5c39589edd80273430fa657d,2019,1,12,0,1,39,83.07,74.37,21.38,0.03,0.9,3.15,0.02,0.09,73.7,22.3,0.0,1.0,3.0,0.0,0.0,54.12,40.24,11.61,0.01,0.49,1.71,0.01,0.08,65.0,0.0,1.65,40.53,12.26,0.55,0.0,0.0,100.0,1038.55,112.1,39.12,38.86,0.0,0.0,461.83,695.78,48.37,9.51,120.0,119.0,4.97,8.4,4.79,5.0,136.85,104.7,32.04,26.35,44.0,57.72,766.15,857.0,857.81,892.16,604.36,2.36,0.0,1.0,2.0,0.97,2.0,2.0,0.64,48.5,75.0,46.0,49.0,26.0,24.0,21.0,13.0,29.0,26.0,1.0,20.0,0.0,0.0,3380.0,1.86,6.5,9.8,2.51,0.03,7.62,2.29,0.03,0.03,236.0,0.0,1.0,2019-01-12 00:01:39
4,5c3958bcdd80273430fa657e,2019,1,12,0,2,10,83.13,74.39,21.6,0.02,0.91,2.92,0.01,0.15,73.7,22.3,0.0,1.0,3.0,0.0,0.0,54.04,40.22,11.66,0.0,0.5,1.57,0.02,0.05,65.0,0.0,1.65,40.53,12.26,0.55,0.0,0.0,100.0,954.4,101.4,39.02,39.1,0.0,0.0,408.62,677.37,48.44,9.68,120.0,120.0,4.96,8.4,4.99,5.0,137.07,104.94,32.08,26.27,44.0,58.21,766.26,857.0,857.81,892.5,598.37,2.36,1.13,1.0,2.0,1.25,4.0,5.0,0.16,56.0,114.0,48.0,73.0,62.0,71.0,60.0,28.0,9.0,36.0,10.0,27.0,0.0,0.0,3380.0,1.86,6.5,9.8,2.51,0.03,7.62,2.29,0.03,0.03,236.0,0.0,1.0,2019-01-12 00:02:10
5,5c3958dbdd80273430fa657f,2019,1,12,0,2,40,82.59,74.88,21.35,0.01,0.91,2.62,0.03,0.17,73.7,22.3,0.0,1.0,3.0,0.0,0.0,53.71,40.23,11.5,0.02,0.49,1.4,0.01,0.05,65.0,0.0,1.65,40.53,12.26,0.55,0.0,0.0,100.0,1056.76,117.34,39.23,38.96,0.0,0.0,405.25,652.22,48.37,9.59,120.0,118.0,5.06,8.53,4.83,5.0,137.12,105.1,32.12,26.36,44.0,58.28,765.99,857.0,857.81,892.56,604.87,2.36,0.0,1.0,1.1,0.99,2.0,2.0,0.16,27.0,50.0,46.0,69.0,24.0,25.0,24.0,16.0,30.0,24.0,3.0,18.0,0.0,0.0,3380.0,1.86,6.5,9.8,2.51,0.03,7.62,2.29,0.03,0.03,236.0,0.0,1.0,2019-01-12 00:02:40
6,5c3958fadd80273430fa6580,2019,1,12,0,3,11,83.29,74.33,21.49,0.04,0.87,3.07,0.03,0.16,73.7,22.3,0.0,1.0,3.0,0.0,0.0,54.14,40.33,11.57,0.01,0.47,1.69,0.0,0.06,65.0,0.0,1.65,40.53,12.26,0.55,0.0,0.0,100.0,1018.6,113.51,37.48,37.6,0.0,0.0,406.71,649.88,48.41,9.46,120.0,118.0,4.93,8.36,4.87,5.0,137.12,105.29,32.22,26.52,44.0,57.56,766.63,857.0,857.81,892.5,598.42,2.36,0.0,0.16,2.0,0.97,2.0,2.0,0.04,38.0,64.0,47.0,80.0,57.0,63.0,67.0,34.0,17.0,29.0,19.0,31.0,0.0,0.0,3380.0,1.86,6.5,9.8,2.51,0.03,7.62,2.29,0.03,0.03,236.0,0.0,1.0,2019-01-12 00:03:11
7,5c395919dd80273430fa6581,2019,1,12,0,3,42,82.9,74.33,21.35,0.02,0.86,3.27,0.03,0.13,73.7,22.3,0.0,1.0,3.0,0.0,0.0,54.07,40.15,11.51,0.0,0.46,1.75,0.01,0.07,65.0,0.0,1.65,40.53,12.26,0.55,0.0,0.0,100.0,1036.71,110.91,38.38,37.82,0.0,0.0,393.02,623.9,48.36,9.52,120.0,117.0,4.94,8.35,5.02,5.0,137.35,105.61,32.33,26.58,44.0,57.83,765.99,857.0,858.72,892.9,603.1,2.36,0.0,1.0,2.02,0.85,2.0,2.0,0.04,62.0,83.0,52.0,46.0,19.0,10.0,11.0,11.0,27.0,31.0,7.0,16.0,0.0,0.0,3380.0,1.86,6.5,9.8,2.51,0.03,7.62,2.29,0.03,0.03,236.0,0.0,1.0,2019-01-12 00:03:42
8,5c395937dd80273430fa6582,2019,1,12,0,4,13,82.5,74.94,21.59,0.02,0.84,2.5,0.01,0.12,73.7,22.3,0.0,1.0,3.0,0.0,0.0,53.66,40.31,11.5,0.0,0.45,1.33,0.0,0.1,65.0,0.0,1.65,40.53,12.26,0.55,0.0,0.0,100.0,1053.0,116.93,37.3,37.32,0.0,0.0,389.63,644.46,48.42,9.57,120.0,117.0,4.97,8.4,5.0,5.0,137.65,105.61,32.34,26.57,44.0,58.52,766.31,857.0,858.72,892.61,601.68,2.36,0.0,1.0,2.0,0.89,2.0,2.0,0.04,27.0,49.0,39.0,63.0,39.0,53.0,61.0,29.0,26.0,34.0,9.5,22.0,0.0,0.0,3380.0,1.86,6.5,9.8,2.51,0.03,7.62,2.29,0.03,0.03,236.0,0.0,1.0,2019-01-12 00:04:13
9,5c395956dd80273430fa6583,2019,1,12,0,4,43,82.03,75.46,21.5,0.01,0.82,2.1,0.0,0.12,73.7,22.3,0.0,1.0,3.0,0.0,0.0,53.54,40.35,11.53,0.04,0.43,1.11,0.0,0.09,65.0,0.0,1.65,40.53,12.26,0.55,0.0,0.0,100.0,946.05,108.0,36.89,36.58,0.0,0.0,384.25,636.98,48.09,9.49,120.0,116.0,4.96,8.39,5.06,5.0,137.23,105.91,32.28,26.31,44.0,57.97,766.26,857.0,858.72,892.67,600.99,2.35,0.02,1.0,1.12,1.09,2.0,3.0,0.04,43.0,67.0,48.0,64.0,36.0,33.0,24.0,8.0,26.0,28.0,25.0,16.0,0.0,0.0,3380.0,1.86,6.5,9.8,2.51,0.03,7.62,2.29,0.03,0.03,236.0,0.0,1.0,2019-01-12 00:04:43
